row_no,logline,parsed_logline,parameter_list,month,day,time,host,process_name,process_subtype,process_pid,remote_host,user_value,tty,tt,anomaly_label,anomaly_score,is_anomaly
19,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23397]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23397,,,,,1,-5.980061732988872,False
20,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23397]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23397,218.188.2.4,,NODEVssh,NODEVssh,1,-6.8028800586842735,False
21,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23395]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23395,,,,,1,-5.980913428327781,False
22,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23395]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23395,218.188.2.4,,NODEVssh,NODEVssh,1,-6.803540998375347,False
23,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23404]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23404,,,,,1,-5.977079220527827,False
24,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23404]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23404,218.188.2.4,,NODEVssh,NODEVssh,1,-6.800564953275838,False
25,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23399]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23399,,,,,1,-5.979209837162351,False
26,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23399]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23399,218.188.2.4,,NODEVssh,NODEVssh,1,-6.802218888320773,False
27,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23406]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23406,,,,,1,-5.976226623072598,False
28,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23406]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23406,218.188.2.4,,NODEVssh,NODEVssh,1,-6.799902975625706,False
29,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23396]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23396,,,,,1,-5.980487605719851,False
30,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23394]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23394,,,,,1,-5.981339200811298,False
31,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23407]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23407,,,,,1,-5.9758002491782065,False
32,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23394]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23394,218.188.2.4,,NODEVssh,NODEVssh,1,-6.803871381716128,False
33,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23403]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23403,,,,,1,-5.977505444086198,False
34,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23396]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23396,218.188.2.4,,NODEVssh,NODEVssh,1,-6.803210557364416,False
35,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23407]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23407,218.188.2.4,,NODEVssh,NODEVssh,1,-6.799571900312209,False
36,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23403]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23403,218.188.2.4,,NODEVssh,NODEVssh,1,-6.800895855610456,False
37,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23412]:']",Jun,15,12:12:34,combo,sshd,pam_unix,23412,,,,,1,-5.973667628087405,False
38,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:12:34', 'sshd(pam_unix)[23412]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:12:34,combo,sshd,pam_unix,23412,218.188.2.4,,NODEVssh,NODEVssh,1,-6.7979156589034915,False
39,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:13:19', 'sshd(pam_unix)[23414]:']",Jun,15,12:13:19,combo,sshd,pam_unix,23414,,,,,1,-5.972814228918878,False
40,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:13:19', 'sshd(pam_unix)[23414]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:13:19,combo,sshd,pam_unix,23414,218.188.2.4,,NODEVssh,NODEVssh,1,-6.797252758767229,False
41,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '12:13:20', 'sshd(pam_unix)[23416]:']",Jun,15,12:13:20,combo,sshd,pam_unix,23416,,,,,1,-5.971960629346654,False
42,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '12:13:20', 'sshd(pam_unix)[23416]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,15,12:13:20,combo,sshd,pam_unix,23416,218.188.2.4,,NODEVssh,NODEVssh,1,-6.79658962803061,False
43,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23661]:']",Jun,15,14:53:32,combo,sshd,pam_unix,23661,,,,,1,-5.865881878667409,False
44,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23661]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:32,combo,sshd,pam_unix,23661,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.562911028443693,False
45,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23663]:']",Jun,15,14:53:32,combo,sshd,pam_unix,23663,,,,,1,-5.8650036059672175,False
46,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23663]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:32,combo,sshd,pam_unix,23663,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.562252554374432,False
47,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23664]:']",Jun,15,14:53:32,combo,sshd,pam_unix,23664,,,,,1,-5.864564394933318,False
48,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:32', 'sshd(pam_unix)[23664]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:32,combo,sshd,pam_unix,23664,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.561923232542249,False
49,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:33', 'sshd(pam_unix)[23665]:']",Jun,15,14:53:33,combo,sshd,pam_unix,23665,,,,,1,-5.864125134111902,False
50,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:33', 'sshd(pam_unix)[23665]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:33,combo,sshd,pam_unix,23665,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.561593854179691,False
51,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:34', 'sshd(pam_unix)[23669]:']",Jun,15,14:53:34,combo,sshd,pam_unix,23669,,,,,1,-5.862367592976483,False
52,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:34', 'sshd(pam_unix)[23669]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:34,combo,sshd,pam_unix,23669,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.5602757754478205,False
53,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23671]:']",Jun,15,14:53:35,combo,sshd,pam_unix,23671,,,,,1,-5.861488523716737,False
54,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23671]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:35,combo,sshd,pam_unix,23671,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.559616396927844,False
55,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23673]:']",Jun,15,14:53:35,combo,sshd,pam_unix,23673,,,,,1,-5.860609255342602,False
56,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23673]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:35,combo,sshd,pam_unix,23673,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.558956792316607,False
57,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23674]:']",Jun,15,14:53:35,combo,sshd,pam_unix,23674,,,,,1,-5.860169546490752,False
58,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:35', 'sshd(pam_unix)[23674]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:35,combo,sshd,pam_unix,23674,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.558626905229403,False
59,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:36', 'sshd(pam_unix)[23678]:']",Jun,15,14:53:36,combo,sshd,pam_unix,23678,,,,,1,-5.858410213348108,False
60,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:36', 'sshd(pam_unix)[23678]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:36,combo,sshd,pam_unix,23678,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.5573067916953605,False
61,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '14:53:36', 'sshd(pam_unix)[23677]:']",Jun,15,14:53:36,combo,sshd,pam_unix,23677,,,,,1,-5.858850121291468,False
62,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '14:53:36', 'sshd(pam_unix)[23677]:', 'tty=NODEVssh', 'rhost=061092085098.ctinets.com']",Jun,15,14:53:36,combo,sshd,pam_unix,23677,061092085098.ctinets.com,,NODEVssh,NODEVssh,1,-5.55763690485454,False
63,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24138]:']",Jun,15,20:05:31,combo,sshd,pam_unix,24138,,,,,1,-5.650796407936205,False
64,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24138]:', 'tty=NODEVssh', 'rhost=d211-116-254-214.rev.krline.net']",Jun,15,20:05:31,combo,sshd,pam_unix,24138,d211-116-254-214.rev.krline.net,,NODEVssh,NODEVssh,1,-4.32785894714835,False
65,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24137]:']",Jun,15,20:05:31,combo,sshd,pam_unix,24137,,,,,1,-5.6512590731612065,False
66,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24137]:', 'tty=NODEVssh', 'rhost=d211-116-254-214.rev.krline.net']",Jun,15,20:05:31,combo,sshd,pam_unix,24137,d211-116-254-214.rev.krline.net,,NODEVssh,NODEVssh,1,-4.328202984137661,False
67,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24141]:']",Jun,15,20:05:31,combo,sshd,pam_unix,24141,,,,,1,-5.649408117254673,False
68,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24141]:', 'tty=NODEVssh', 'rhost=d211-116-254-214.rev.krline.net']",Jun,15,20:05:31,combo,sshd,pam_unix,24141,d211-116-254-214.rev.krline.net,,NODEVssh,NODEVssh,1,-4.326826506313431,False
69,Jun 15 20:05:31 combo sshd(pam_unix)[24140]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '15', '20:05:31', 'sshd(pam_unix)[24140]:']",Jun,15,20:05:31,combo,sshd,pam_unix,24140,,,,,1,-5.6498709299815815,False
